:START_ID,:END_ID,:TYPE
s1,ps1,movesTo
s1,ps2,movesTo
s1,ps3,movesTo
s1,ps4,movesTo
s1,ps5,movesTo
s2,ps6,movesTo
s2,ps7,movesTo
s4,ps8,movesTo
s2,ps9,movesTo
s6,ps10,movesTo
s6,ps11,movesTo
s6,ps12,movesTo
s6,ps13,movesTo
s1,ps14,movesTo
s6,ps15,movesTo
s7,ps16,movesTo
s7,ps17,movesTo
s8,ps18,movesTo
s8,ps19,movesTo
s9,ps20,movesTo
s11,ps21,movesTo
s9,ps22,movesTo
s8,ps23,movesTo
s12,ps24,movesTo
s12,ps25,movesTo
s13,ps26,movesTo
s13,ps27,movesTo
s13,ps28,movesTo
pa12,ps29,movesTo
s13,ps30,movesTo
s14,ps31,movesTo
s15,ps32,movesTo
s15,ps33,movesTo
s15,ps34,movesTo
s15,ps35,movesTo
s15,ps36,movesTo
s15,ps37,movesTo
s15,ps38,movesTo
s17,ps39,movesTo
s17,ps40,movesTo
s17,ps41,movesTo
s19,ps42,movesTo
s19,ps43,movesTo
s1,ps44,movesTo
s20,ps45,movesTo
s20,ps46,movesTo
s20,ps47,movesTo
s21,ps48,movesTo
s21,ps49,movesTo
s21,ps50,movesTo
s21,ps51,movesTo
s21,ps52,movesTo
s21,ps53,movesTo
s21,ps54,movesTo
s21,ps55,movesTo
s21,ps56,movesTo
s21,ps57,movesTo
s21,ps58,movesTo
s1,ps59,movesTo
s1,ps60,movesTo
s21,ps61,movesTo
s21,ps62,movesTo
pa17,ps63,movesTo
s22,ps64,movesTo
s24,ps65,movesTo
