:ID,identifier,:LABEL
s1,JOCCH21-TSA039,SubmissionID
s2,ACL22-2135-P,SubmissionID
s3,ACL2020-XYZ123,SubmissionID
s4,ACL2020-CRV,SubmissionID
s5,ACL2020,SubmissionID
s6,JOCCH22A5Q8Z,SubmissionID
s7,H202023GBM9,SubmissionID
s8,ACL2021-P1234,SubmissionID
s9,ACL2021-AMI,SubmissionID
s10,ACL2021,SubmissionID
s11,ACL2021-XYZ123,SubmissionID
s12,ACL2021-CR,SubmissionID
s13,JDOC12345,SubmissionID
s14,JDOC23456,SubmissionID
s15,ACL2022-P01567,SubmissionID
s16,ACL2023-Submission,SubmissionID
s17,ACL2023-7890,SubmissionID
s18,ACL2023-CR,SubmissionID
s19,JOCCH5678ZX,SubmissionID
s20,JOCCH2023NHD15,SubmissionID
s21,JOCCH1234XYZ,SubmissionID
s22,EMNLP2024XY45,SubmissionID
s23,EMNLP2024,SubmissionID
s24,ACL2025ABC123,SubmissionID
